"","cell_ID","cell_types","cell_subtypes"
"1",1.00036459431811e+38,"L4/5 IT","L45_IT_2"
"2",1.00036464372885e+38,"L5 ET","L5_ET_5"
"3",1.00109246072494e+38,"L2/3 IT","L23_IT_2"
"4",1.00111851073139e+38,"L2/3 IT","L23_IT_4"
"5",1.00129785200728e+38,"Astro","Astro_1"
"6",1.00177865818806e+38,"L6 CT","L6_CT_1"
"7",1.00183862703116e+38,"L6b","L6b_2"
"8",1.00306282782912e+38,"Astro","Astro_1"
"9",1.00487971481977e+38,"Peri","Peri"
"10",1.00594315975661e+38,"L6b","L6b_2"
"11",1.00628238561317e+38,"L5 IT","L5_IT_1"
"12",1.00726432475755e+38,"L5 ET","L5_ET_2"
"13",1.00776531015202e+38,"L5 ET","L5_ET_3"
"14",1.00810706392666e+38,"Endo","Endo"
"15",1.0090645320006e+38,"PVM","PVM"
"16",1.00918561634881e+38,"Endo","Endo"
"17",1.00974392523521e+38,"L5 ET","L5_ET_5"
"18",1.01057268144003e+38,"L6 CT","L6_CT_2"
"19",1.01091510741523e+38,"L4/5 IT","L45_IT_4"
"20",1.01201713910495e+38,"L6 CT","L6_CT_1"
"21",1.01267888996808e+38,"Oligo","Oligo_2"
"22",1.0134747293922e+38,"L2/3 IT","L23_IT_2"
"23",1.01423703990849e+38,"L5 IT","L5_IT_1"
"24",1.01434421735486e+38,"L4/5 IT","L45_IT_2"
"25",1.01439068933355e+38,"L5 IT","L5_IT_4"
"26",1.01563530597727e+38,"L4/5 IT","L45_IT_2"
"27",1.01653966380139e+38,"Peri","Peri"
"28",1.01888392096567e+38,"L5 IT","L5_IT_1"
"29",1.01897036617515e+38,"L4/5 IT","L45_IT_5"
"30",1.0191717872436e+37,"L2/3 IT","L23_IT_4"
"31",1.02018591442805e+38,"L6 CT","L6_CT_2"
"32",1.02053521907155e+38,"Oligo","Oligo_2"
"33",1.02097275526262e+38,"Oligo","Oligo_1"
"34",1.02097922045227e+38,"Oligo","Oligo_2"
"35",1.02404055725188e+38,"OPC","OPC"
"36",1.02567650493391e+38,"L4/5 IT","L45_IT_SSp_1"
"37",1.02570520078972e+38,"L2/3 IT","L23_IT_2"
"38",1.0287264696557e+38,"L6 CT","L6_CT_3"
"39",1.02896583546183e+38,"L5 ET","L5_ET_1"
"40",1.0291284069132e+38,"L4/5 IT","L45_IT_SSp_2"
"41",1.02937863950606e+38,"Endo","Endo"
"42",1.03222232437087e+38,"L2/3 IT","L23_IT_2"
"43",1.03297295154794e+37,"Astro","Astro_2"
"44",1.03300016927374e+38,"L5 IT","L5_IT_1"
"45",1.03431918608851e+38,"L5 ET","L5_ET_1"
