,ClusterName
778,Inhibitory CP
3642,Inhibitory CP
769,Inhibitory CP
5870,Inhibitory CP
5682,Inhibitory CP
6337,Inhibitory CP
2071,Inhibitory CP
6195,Inhibitory CP
4907,Inhibitory CP
4094,Inhibitory CP
2244,Inhibitory CP
5036,Inhibitory CP
2209,Inhibitory CP
4690,Inhibitory CP
5719,Inhibitory CP
6435,Inhibitory CP
6046,Inhibitory CP
645,Inhibitory CP
3427,Inhibitory CP
3959,Inhibitory CP
5867,Inhibitory CP
1845,Inhibitory CP
5754,Inhibitory CP
4980,Inhibitory CP
2311,Inhibitory CP
765,Inhibitory CP
4568,Inhibitory CP
3901,Inhibitory CP
3477,Inhibitory CP
170,Inhibitory CP
2157,Inhibitory CP
1806,Inhibitory CP
4609,Inhibitory CP
3758,Inhibitory CP
2083,Inhibitory CP
687,Inhibitory CP
2293,Inhibitory CP
6196,Inhibitory CP
6157,Inhibitory CP
3313,Inhibitory CP
5692,Inhibitory CP
5724,Inhibitory CP
4725,Inhibitory CP
3881,Inhibitory CP
205,Inhibitory CP
6302,Inhibitory CP
5048,Inhibitory CP
5413,Inhibitory CP
5857,Inhibitory CP
768,Inhibitory CP
767,Inhibitory CP
3307,Inhibitory CP
7328,Inhibitory CP
164,Inhibitory CP
7350,Inhibitory CP
5740,Inhibitory CP
6218,Inhibitory CP
2174,Inhibitory CP
6015,Inhibitory CP
4672,Inhibitory CP
6058,Inhibitory CP
5185,Inhibitory CP
6254,Inhibitory CP
5219,Inhibitory CP
4990,Inhibitory CP
3560,Inhibitory CP
3759,Inhibitory CP
6174,Inhibitory CP
6189,Inhibitory CP
7382,Inhibitory CP
6372,Inhibitory CP
2233,Inhibitory CP
7383,Inhibitory CP
5877,Inhibitory CP
5806,Inhibitory CP
6722,Inhibitory CP
3699,Inhibitory CP
3877,Inhibitory CP
2187,Inhibitory CP
5231,Inhibitory CP
2148,Inhibitory CP
809,Inhibitory CP
3583,Inhibitory CP
2076,Inhibitory CP
3803,Inhibitory CP
5681,Inhibitory CP
4031,Inhibitory CP
800,Inhibitory CP
4055,Inhibitory CP
2098,Inhibitory CP
3908,Inhibitory CP
3915,Inhibitory CP
3987,Inhibitory CP
4625,Inhibitory CP
7363,Inhibitory CP
5155,Inhibitory CP
4735,Inhibitory CP
6071,Inhibitory CP
5061,Inhibitory CP
7653,Inhibitory CP
3874,Inhibitory CP
2509,Inhibitory CP
6187,Inhibitory CP
723,Inhibitory Crhbp
6097,Inhibitory Crhbp
4613,Inhibitory Crhbp
3706,Inhibitory Crhbp
5670,Inhibitory Crhbp
5281,Inhibitory Crhbp
4218,Inhibitory Crhbp
56,Inhibitory Crhbp
2169,Inhibitory Crhbp
6181,Inhibitory Crhbp
655,Inhibitory Crhbp
868,Inhibitory Crhbp
4748,Inhibitory Crhbp
6720,Inhibitory Crhbp
4630,Inhibitory Crhbp
2061,Inhibitory Crhbp
6288,Inhibitory Crhbp
6096,Inhibitory Crhbp
243,Inhibitory Crhbp
6353,Inhibitory Crhbp
697,Inhibitory Crhbp
89,Inhibitory Crhbp
6153,Inhibitory Crhbp
5113,Inhibitory Crhbp
5696,Inhibitory Crhbp
2123,Inhibitory Crhbp
4768,Inhibitory Crhbp
3462,Inhibitory Crhbp
2510,Inhibitory Crhbp
3574,Inhibitory Crhbp
4035,Inhibitory Crhbp
5698,Inhibitory Crhbp
4596,Inhibitory Crhbp
6193,Inhibitory Crhbp
6251,Inhibitory Crhbp
4752,Inhibitory Crhbp
5804,Inhibitory Crhbp
5793,Inhibitory Crhbp
2253,Inhibitory Crhbp
1906,Inhibitory Crhbp
5057,Inhibitory Crhbp
2224,Inhibitory Crhbp
2208,Inhibitory Crhbp
2282,Inhibitory Crhbp
212,Inhibitory Crhbp
4782,Inhibitory Crhbp
2443,Inhibitory Crhbp
634,Inhibitory Crhbp
6422,Inhibitory Crhbp
818,Inhibitory Crhbp
6182,Inhibitory Crhbp
5923,Inhibitory Crhbp
4032,Inhibitory Crhbp
4893,Inhibitory Crhbp
6172,Inhibitory Crhbp
3707,Inhibitory Crhbp
5794,Inhibitory Crhbp
3422,Inhibitory Crhbp
6369,Inhibitory Crhbp
2467,Inhibitory Crhbp
3948,Inhibitory Crhbp
736,Inhibitory Crhbp
301,Inhibitory Crhbp
5947,Inhibitory Crhbp
842,Inhibitory Crhbp
4166,Inhibitory Crhbp
5233,Inhibitory Crhbp
6067,Inhibitory Crhbp
3745,Inhibitory Crhbp
3713,Inhibitory Crhbp
6315,Inhibitory Crhbp
5112,Inhibitory Crhbp
7632,Inhibitory Crhbp
5136,Inhibitory Crhbp
3834,Inhibitory Crhbp
5703,Inhibitory Crhbp
2472,Inhibitory Crhbp
2264,Inhibitory Crhbp
2215,Inhibitory Crhbp
706,Inhibitory Crhbp
621,Inhibitory Crhbp
4750,Inhibitory Crhbp
2444,Inhibitory Crhbp
4945,Inhibitory Crhbp
2137,Inhibitory Crhbp
487,Inhibitory Crhbp
690,Inhibitory Crhbp
4843,Inhibitory Crhbp
1745,Inhibitory Crhbp
5790,Inhibitory Crhbp
4020,Inhibitory Crhbp
3478,Inhibitory Crhbp
1863,Inhibitory Crhbp
2489,Inhibitory Crhbp
860,Inhibitory Cnr1
852,Inhibitory Cnr1
3576,Inhibitory Cnr1
3702,Inhibitory Cnr1
3735,Inhibitory Cnr1
4599,Inhibitory Cnr1
5845,Inhibitory Cnr1
5738,Inhibitory Cnr1
2242,Inhibitory Cnr1
1588,Inhibitory Cnr1
4883,Inhibitory Cnr1
6289,Inhibitory Cnr1
4870,Inhibitory Cnr1
5688,Inhibitory Cnr1
7341,Inhibitory Cnr1
4866,Inhibitory Cnr1
4006,Inhibitory Cnr1
6161,Inhibitory Cnr1
856,Inhibitory Cnr1
2462,Inhibitory Cnr1
2520,Inhibitory Cnr1
1908,Inhibitory Cnr1
850,Inhibitory Cnr1
16,Inhibitory Cnr1
3597,Inhibitory Cnr1
4667,Inhibitory Cnr1
5310,Inhibitory Cnr1
2258,Inhibitory Cnr1
5841,Inhibitory Cnr1
1835,Inhibitory Cnr1
4115,Inhibitory Cnr1
5735,Inhibitory Cnr1
1619,Inhibitory Cnr1
4602,Inhibitory Cnr1
4065,Inhibitory Cnr1
2122,Inhibitory Cnr1
6209,Inhibitory Cnr1
3737,Inhibitory Cnr1
4574,Inhibitory Cnr1
1715,Inhibitory Cnr1
3334,Inhibitory IC
4979,Inhibitory IC
6042,Inhibitory IC
4733,Inhibitory IC
5071,Inhibitory IC
3742,Inhibitory IC
6091,Inhibitory IC
5127,Inhibitory IC
123,Inhibitory IC
6605,Inhibitory IC
3922,Inhibitory IC
4527,Inhibitory IC
3470,Inhibitory IC
4882,Inhibitory IC
29,Inhibitory IC
7060,Inhibitory IC
1653,Inhibitory IC
5137,Inhibitory IC
5031,Inhibitory IC
6381,Inhibitory IC
185,Inhibitory IC
1595,Inhibitory IC
2109,Inhibitory IC
3410,Inhibitory IC
3896,Inhibitory IC
2146,Inhibitory IC
3734,Inhibitory IC
286,Inhibitory IC
3343,Inhibitory IC
3932,Inhibitory IC
3661,Inhibitory IC
3382,Inhibitory IC
1616,Inhibitory IC
5701,Inhibitory IC
4736,Inhibitory IC
4518,Inhibitory IC
4874,Inhibitory IC
3770,Inhibitory IC
4622,Inhibitory IC
6170,Inhibitory IC
4751,Inhibitory IC
1633,Inhibitory IC
1778,Inhibitory IC
143,Inhibitory IC
4541,Inhibitory IC
348,Inhibitory IC
5849,Inhibitory IC
5591,Inhibitory IC
5165,Inhibitory IC
4545,Inhibitory IC
4929,Inhibitory IC
248,Inhibitory IC
5081,Inhibitory IC
2201,Inhibitory IC
368,Inhibitory IC
83,Inhibitory IC
1576,Inhibitory IC
3857,Inhibitory Kcnip2
7052,Inhibitory Kcnip2
3807,Inhibitory Kcnip2
5911,Inhibitory Kcnip2
3726,Inhibitory Kcnip2
4744,Inhibitory Kcnip2
3324,Inhibitory Kcnip2
3618,Inhibitory Kcnip2
5752,Inhibitory Kcnip2
1973,Inhibitory Kcnip2
3669,Inhibitory Kcnip2
5725,Inhibitory Kcnip2
2161,Inhibitory Kcnip2
186,Inhibitory Kcnip2
2039,Inhibitory Kcnip2
2167,Inhibitory Kcnip2
2304,Inhibitory Kcnip2
679,Inhibitory Kcnip2
3755,Inhibitory Kcnip2
4794,Inhibitory Kcnip2
4678,Inhibitory Kcnip2
5163,Inhibitory Kcnip2
4928,Inhibitory Kcnip2
606,Inhibitory Kcnip2
4047,Inhibitory Kcnip2
2581,Inhibitory Kcnip2
643,Inhibitory Kcnip2
719,Inhibitory Kcnip2
4909,Inhibitory Kcnip2
6094,Inhibitory Kcnip2
321,Inhibitory Kcnip2
5963,Inhibitory Kcnip2
2133,Inhibitory Kcnip2
7066,Inhibitory Kcnip2
3368,Inhibitory Kcnip2
1807,Inhibitory Kcnip2
2089,Inhibitory Kcnip2
617,Inhibitory Kcnip2
3515,Inhibitory Kcnip2
6034,Inhibitory Kcnip2
493,Inhibitory Kcnip2
545,Inhibitory Kcnip2
3970,Inhibitory Kcnip2
7373,Inhibitory Kcnip2
2131,Inhibitory Kcnip2
601,Inhibitory Kcnip2
4796,Inhibitory Kcnip2
4800,Inhibitory Kcnip2
6005,Inhibitory Kcnip2
1915,Inhibitory Kcnip2
2057,Inhibitory Kcnip2
5024,Inhibitory Kcnip2
604,Inhibitory Kcnip2
4904,Inhibitory Kcnip2
2016,Inhibitory Kcnip2
5940,Inhibitory Kcnip2
670,Inhibitory Kcnip2
3677,Inhibitory Kcnip2
717,Inhibitory Kcnip2
431,Inhibitory Kcnip2
3386,Inhibitory Kcnip2
2152,Inhibitory Kcnip2
694,Inhibitory Kcnip2
457,Inhibitory Kcnip2
1972,Inhibitory Kcnip2
513,Inhibitory Kcnip2
6008,Inhibitory Kcnip2
5933,Inhibitory Kcnip2
2237,Inhibitory Kcnip2
550,Inhibitory Kcnip2
3862,Inhibitory Pthlh
2196,Inhibitory Pthlh
6188,Inhibitory Pthlh
4895,Inhibitory Pthlh
678,Inhibitory Pthlh
1796,Inhibitory Pthlh
837,Inhibitory Pthlh
6743,Inhibitory Pthlh
5647,Inhibitory Pthlh
3911,Inhibitory Pthlh
4612,Inhibitory Pthlh
3487,Inhibitory Pthlh
41,Inhibitory Pthlh
3859,Inhibitory Pthlh
5898,Inhibitory Pthlh
3910,Inhibitory Pthlh
3380,Inhibitory Pthlh
3664,Inhibitory Pthlh
5768,Inhibitory Pthlh
2051,Inhibitory Pthlh
3747,Inhibitory Pthlh
221,Inhibitory Pthlh
5699,Inhibitory Pthlh
312,Inhibitory Pthlh
3316,Inhibitory Pthlh
805,Inhibitory Pthlh
2226,Inhibitory Pthlh
3888,Inhibitory Pthlh
4681,Inhibitory Pthlh
3412,Inhibitory Pthlh
189,Inhibitory Pthlh
7068,Inhibitory Pthlh
3352,Inhibitory Pthlh
4769,Inhibitory Pthlh
4723,Inhibitory Pthlh
5204,Inhibitory Pthlh
2338,Inhibitory Pthlh
5119,Inhibitory Pthlh
5824,Inhibitory Pthlh
4950,Inhibitory Pthlh
5040,Inhibitory Pthlh
558,Inhibitory Pthlh
3604,Inhibitory Pthlh
4691,Inhibitory Pthlh
5663,Inhibitory Pthlh
2001,Inhibitory Pthlh
1636,Inhibitory Pthlh
1,Inhibitory Pthlh
37,Inhibitory Pthlh
4920,Inhibitory Pthlh
665,Inhibitory Pthlh
2471,Inhibitory Pthlh
5146,Inhibitory Pthlh
7075,Inhibitory Pthlh
