CellID,ClusterID,ClusterName
0,1,eL2/3
1,5,eL6-2
2,-1,NA
3,11,Astro-2
4,4,eL6-1
5,1,eL2/3
6,13,PVALB
7,10,Endo
8,12,VIP
9,-1,NA
10,14,SST
11,-1,NA
12,7,Astro-1
13,6,Smc
14,5,eL6-2
15,10,Endo
16,4,eL6-1
17,2,eL4
18,1,eL2/3
19,-1,NA
20,1,eL2/3
21,7,Astro-1
22,9,Micro
23,2,eL4
24,4,eL6-1
25,5,eL6-2
26,7,Astro-1
27,10,Endo
28,2,eL4
29,8,Oligo
30,5,eL6-2
31,12,VIP
32,6,Smc
33,8,Oligo
34,3,eL5
35,3,eL5
36,-1,NA
37,5,eL6-2
38,11,Astro-2
39,-1,NA
40,8,Oligo
41,13,PVALB
42,1,eL2/3
43,2,eL4
44,5,eL6-2
45,5,eL6-2
46,7,Astro-1
47,12,VIP
48,3,eL5
49,11,Astro-2
50,5,eL6-2
51,4,eL6-1
52,-1,NA
53,15,Reln
54,12,VIP
55,2,eL4
56,11,Astro-2
57,6,Smc
58,8,Oligo
59,5,eL6-2
60,0,HPC
61,8,Oligo
62,10,Endo
63,1,eL2/3
64,11,Astro-2
65,8,Oligo
66,2,eL4
67,-1,NA
68,5,eL6-2
69,3,eL5
70,2,eL4
71,1,eL2/3
72,4,eL6-1
73,1,eL2/3
74,-1,NA
75,5,eL6-2
76,11,Astro-2
77,10,Endo
78,5,eL6-2
79,2,eL4
80,2,eL4
81,11,Astro-2
82,5,eL6-2
83,-1,NA
84,1,eL2/3
85,5,eL6-2
86,6,Smc
87,-1,NA
88,5,eL6-2
89,0,HPC
90,3,eL5
91,5,eL6-2
92,2,eL4
93,5,eL6-2
94,2,eL4
95,3,eL5
96,3,eL5
97,2,eL4
98,8,Oligo
99,5,eL6-2
100,7,Astro-1
101,13,PVALB
102,7,Astro-1
103,5,eL6-2
104,8,Oligo
105,10,Endo
106,1,eL2/3
107,10,Endo
108,1,eL2/3
109,1,eL2/3
110,2,eL4
111,2,eL4
112,8,Oligo
113,5,eL6-2
